timestamp,BTCUSD,DOGEUSD,LTCUSD,DASHUSD,ETHUSD,ZECUSD,ETCUSD,EOSUSD,NEOUSD,BTGUSD,XRPUSDT,TRXUSD
2019-05-18 20:12:00,7261.23,0.0029192,86.9578,139.5147,235.989,72.4488,7.17449,5.89963,10.86901,20.75325,0.373648,0.0265183
2019-05-18 20:13:00,7274.44,0.00291828,87.0097,139.653,236.273,72.35,7.17324,5.9035,10.86831,20.75325,0.373648,0.0265479
2019-05-18 20:14:00,7274.03,0.0029212,87.0097,139.5444,236.358,72.4114,7.18016,5.9053,10.87032,20.68025,0.373898,0.0265617
2019-05-18 20:15:00,7277.28,0.00292091,86.9875,139.5265,236.259,72.4142,7.17967,5.90903,10.86417,20.72726,0.374175,0.0265412
2019-05-18 20:16:00,7279.02,0.00292091,86.876,139.5915,236.076,72.3549,7.18589,5.90847,10.8691,20.72726,0.373914,0.0265758
2019-05-18 20:17:00,7265.82,0.00291759,86.9932,139.3234,235.827,72.2099,7.17899,5.89872,10.85542,20.73048,0.373687,0.0265262
2019-05-18 20:18:00,7251.99,0.00291673,86.9972,139.2577,235.804,72.238,7.17685,5.89297,10.8671,20.66105,0.373063,0.0265032
2019-05-18 20:19:00,7248.03,0.00291862,86.9349,139.2967,235.66,72.2046,7.17292,5.89695,10.86998,20.69865,0.372944,0.0264917
2019-05-18 20:20:00,7249.98,0.00291996,87.0086,139.2882,235.592,72.2472,7.17292,5.89684,10.85387,20.71393,0.372914,0.0264827
2019-05-18 20:21:00,7262.14,0.00291847,86.9884,139.4472,235.891,72.2797,7.17154,5.89809,10.86679,20.71393,0.372975,0.0264987
2019-05-18 20:22:00,7262.45,0.00291804,86.9807,139.4848,235.658,72.269,7.17513,5.8953,10.85724,20.66981,0.372876,0.0265369
2019-05-18 20:23:00,7254.83,0.002924,86.9753,139.4724,235.658,72.2836,7.17513,5.89665,10.85868,20.66981,0.372973,0.026488
2019-05-18 20:24:00,7254.61,0.00291794,86.9678,139.4884,235.633,72.241,7.17224,5.89491,10.8652,20.69861,0.372994,0.0265099
2019-05-18 20:25:00,7251.99,0.00291794,86.9463,139.4661,235.296,72.2493,7.17482,5.89491,10.84633,20.65626,0.372994,0.0264971
2019-05-18 20:26:00,7245.83,0.00291794,86.8838,139.4661,235.225,72.1007,7.17382,5.89386,10.84382,20.68982,0.372888,0.0264903
2019-05-18 20:27:00,7241.43,0.00291794,86.693,139.3174,235.153,72.1007,7.16004,5.89386,10.83794,20.65927,0.372888,0.0264896
2019-05-18 20:28:00,7236.59,0.00291794,86.5735,139.3,234.991,72.0384,7.16319,5.89386,10.83794,20.62331,0.372888,0.0264793
2019-05-18 20:29:00,7242.53,0.00291565,86.5681,139.2944,235.06,72.2757,7.16339,5.89046,10.83214,20.65635,0.371361,0.0264663
2019-05-18 20:30:00,7257.87,0.0029158,86.6181,139.642,235.186,72.2996,7.17899,5.89326,10.83321,20.6399,0.37176,0.0264877
2019-05-18 20:31:00,7260.49,0.00291545,86.5699,139.6569,235.314,72.3121,7.16809,5.89382,10.84849,20.65203,0.371646,0.0265097
2019-05-18 20:32:00,7265.7,0.00291594,86.5719,139.579,235.666,72.3035,7.1703,5.89804,10.84417,20.60256,0.371991,0.0265096
2019-05-18 20:33:00,7261.14,0.00291594,86.5429,139.6428,235.458,72.276,7.18507,5.89933,10.84218,20.60256,0.371674,0.0264868
2019-05-18 20:34:00,7253.3,0.00291553,86.5097,139.7598,235.601,72.1851,7.18016,5.89392,10.84005,20.67435,0.371738,0.0264961
2019-05-18 20:35:00,7260.27,0.00291899,86.6283,139.7673,235.667,72.2351,7.18016,5.89397,10.83328,20.65882,0.371909,0.026496
2019-05-18 20:36:00,7258.23,0.00291899,86.6718,140.0198,235.528,72.2523,7.1754,5.89275,10.83188,20.65882,0.371945,0.0264844
2019-05-18 20:37:00,7254.46,0.00291899,86.6117,139.862,235.63,72.2089,7.17762,5.89341,10.83424,20.65926,0.371952,0.026501
2019-05-18 20:38:00,7256.13,0.00291899,86.6557,139.8422,235.939,72.2654,7.18109,5.89506,10.83405,20.67842,0.371873,0.0264921
2019-05-18 20:39:00,7257.66,0.00291899,86.7604,139.9257,235.839,72.251,7.17855,5.89351,10.83648,20.66071,0.371783,0.0264921
2019-05-18 20:40:00,7255.9,0.00291553,86.7484,140.299,235.881,72.251,7.17683,5.89331,10.83648,20.66959,0.371783,0.0264897
2019-05-18 20:41:00,7258.09,0.00291666,86.9074,140.0144,236.082,72.246,7.17951,5.89189,10.84052,20.68549,0.371863,0.0264574
2019-05-18 20:42:00,7254.28,0.00291257,86.7646,140.5626,235.983,72.191,7.17148,5.89205,10.84831,20.68549,0.371614,0.0264667
2019-05-18 20:43:00,7247.23,0.00291257,86.8168,140.5723,235.824,72.1985,7.17352,5.89116,10.85038,20.68549,0.371614,0.026423
2019-05-18 20:44:00,7253.98,0.0029116,86.7739,140.5723,236.148,72.1369,7.1775,5.89509,10.84571,20.68549,0.371922,0.0264188
2019-05-18 20:45:00,7254.39,0.0029116,86.8517,140.8217,236.036,72.1919,7.17916,5.89159,10.84811,20.68549,0.372664,0.0264146
2019-05-18 20:46:00,7258.4,0.0029116,86.8287,141.163,235.846,72.2097,7.20236,5.89306,10.85,20.66859,0.372868,0.0264405
2019-05-18 20:47:00,7257.63,0.0029116,86.8287,141.1824,235.575,72.2038,7.21176,5.89131,10.85415,20.63527,0.372769,0.0264261
2019-05-18 20:48:00,7255.78,0.0029116,86.8185,141.0695,235.888,72.1728,7.20873,5.89188,10.85484,20.65199,0.372672,0.0264406
2019-05-18 20:49:00,7269.59,0.0029116,86.8723,141.0739,235.805,72.3181,7.21169,5.90117,10.84903,20.58992,0.373044,0.0264244
2019-05-18 20:50:00,7258.97,0.0029116,86.9716,141.0073,235.867,72.284,7.21152,5.90264,10.85363,20.67553,0.373419,0.0264404
